"a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
-53300000,5e+07,-1.25e+08,-8900000,25300000,2.4e+07,14600000,-27600000,3.7e+07,1e+08,5e+05,-25200000,-1.5e+07,8700000,-26100000,10300000,-3e+07,-18800000,61500000,-3e+07,-3.9e+07,6100000,6.2e+07,-1.9e+07,-9.8e+07,1.3e+07,2.8e+07,5.6e+07,11300000,13700000
-11000,-116000,-1134000,-69000,-4000,-140000,-34270,-570000,-98000,-17000,78000,-198000,147000,-296000,-57000,-377900,-84200,-569120,-152270,-16300,4688000,2050,290000,-303400,-138100,-228600,-284420,-352800,-455680,-452720
-33000,201000,-1018000,12000,267400,1051700,-80000,40000,-2580000,3470000,131000,-465000,50000,-133000,268000,98000,111000,-573000,-5000,298000,-328000,-41000,-369000,4180000,-1680000,315000,-1e+05,260000,82000,17000
-20280000,5240000,-13140000,-3320000,13540000,-2700000,-107000,-6291000,-1800000,2e+05,-3810000,-871000,-7940000,145000,-3599000,-1180000,4600000,8740000,13020000,-14636000,-8201000,77000,17321000,5400000,7300000,8340000,10441000,24770000,215000,193000
-260,-2820,-502240,-3020,-23660,-5990,849,-22010,1870,-7870,4600,3140,16340,-380,-1370,3630,-50,-210,46720,-3810,30210,901,70,9270,7270,-4360,1584260,-15630,760,-2090
-17180000,-110000,8200000,-1250000,4040000,-9900000,-270000,-540000,10500000,-2e+05,8520000,-3700000,-3150000,32000,-6700000,2330000,-910000,-9e+05,5240000,-760000,-1970000,9260000,-3590000,6e+05,10600000,-9140000,6430000,8350000,-42000,11380000
921900,1446980,375000,-287000,833300,105400,52300,-1390,650400,-4147000,-37790,-4198000,-7334000,288100,122600,5530000,-1421000,-353000,-159000,-805600,-148400,16800,261160,-690270,1737000,-3560,158000,5994000,-240900,-113300
-86300,-218000,-269500,-23200,-24000,-353000,-300,70100,-182000,-382000,263000,-182100,-188000,-423400,-129500,92300,-176400,66400,733100,-92000,188000,21600,345000,-104000,-188000,3494000,26100,243000,15400,212500
-10820000,-18260000,1100000,-3270000,30000,7e+05,-44000,-2600000,-11800000,-5500000,-710000,-4990000,2480000,-1800000,-2180000,1600000,3100000,-4e+06,5230000,320000,-1860000,1324000,-660000,-14790000,-5500000,2090000,4960000,2900000,1150000,610000
695200,-495000,-939000,-286200,304000,-57000,-289000,-1332000,4114000,-1950000,-184000,-8000,-543000,-31480,-525400,-220000,406000,51000,150200,-339000,-103000,-144000,-39000,-3755000,70000,-191000,55000,2683000,66480,5253400
19300,26000,-861000,-120000,700600,-372000,893000,130000,-499000,422000,-29400,58000,-191000,-5000,-33700,874300,1717000,4051000,4596000,-215000,1449000,340000,-407000,4294000,7223000,160400,561000,4105000,3633000,1106100
-1600000,23730000,1460000,319000,25170000,-10860000,-1037000,2379000,1790000,13040000,-19040000,-27220000,4470000,-350000,-26600000,10910000,-20320000,12970000,35940000,-1.3e+07,15560000,1907000,34050000,14450000,1800000,560000,-150000,-2460000,21910000,1230000
-1.9e+07,7500000,-25100000,8200000,-1100000,16800000,7200000,-4500000,8e+05,11900000,13800000,-5860000,1e+06,7300000,-5300000,-4e+05,3600000,-1.3e+07,-3400000,-1600000,-11200000,-6e+05,11200000,-3900000,-10500000,-10200000,18060000,4400000,6400000,6500000
53300000,110500000,-1.15e+08,1e+06,9e+06,45800000,38800000,-101700000,8e+06,3.29e+08,-6.3e+07,39800000,2.9e+07,1.7e+07,-98900000,-9e+06,1.76e+08,1.2e+08,68400000,21800000,-1.4e+07,3200000,159700000,-7.1e+07,-9.2e+07,-21200000,19800000,-7.8e+07,3e+06,115900000
-131000,5980000,2697000,-15530,17200,-500,-1210,-18600,-13000,181900,2168000,-55030,-110610,-2510000,-6500,-492400,-3710000,-3454000,66130,-5300,1270400,8430,35600,-37100,-101000,-1570000,31930,245610,950000,85900
-23650000,5500000,-7500000,-2e+06,1700000,-10800000,-2460000,-4e+06,-2100000,9200000,1800000,-7440000,-3400000,-13950000,-1290000,4150000,12100000,5600000,27600000,8e+05,7500000,3140000,1100000,3e+06,-8400000,-9e+05,3540000,9800000,570000,1210000
-529000,80000,-645000,-161000,-104000,-4048000,-311000,-895000,-197000,580000,-64000,-186000,-2032000,-108000,1000,65000,240000,335000,625000,21000,-148000,668000,171000,1503000,-868000,59000,175000,682000,2000,61000
-73510,169940,-22397780,-14851,2100,223800,-630,-344670,-1758800,-63900,-2150,-11300,-223900,63380,-44920,61710,-168330,980,9351,-33630,-214900,-210,1213670,-15400,4200,-2630,346700,164900,-63170,1790
853000,574000,-5809000,-220000,508000,-663000,104400,-859000,10000,8000,-72000,-147000,-2e+05,35000,-461200,-1e+05,-552000,-17000,716000,-1153000,10233000,-69500,17292000,-285000,-212000,-28000,377000,260000,154000,5000
-1196000,5410000,187000,-571000,867000,-720000,6000,-3347000,-1036000,130000,-643000,-62000,-940000,-268000,72000,-65000,-2640000,102000,659000,-1340000,-440000,145000,-162000,-367000,390000,332000,108000,1e+06,244000,22000
-1311000,358000,-1160000,-71000,13000,-1370000,-108200,-188000,-106000,-102000,48000,-151000,-79000,-14900,-155300,61000,-386000,-656000,246000,-244900,276000,95200,794000,-48000,-242000,-7000,197000,16000,20900,-18000
-62,5250000,-9460,-99400,8350,11700,-167,-146202,-103180,-120,2894000,-811,-19866,-4320000,-118244,287,-2040000,1380,96500,-8350,-24260,6267,3292,-760,5270,-110000,0,6856,2610000,-756
-578000,48000,206000,-90000,276000,105000,-58000,199000,878000,-143000,-290000,-374000,-366000,6200,-116000,205000,-115000,-258000,663000,133000,-205000,131000,-390000,-160000,-754600,-167000,545000,696000,-1060,106000
4770,-3627100,6688,-158,17276,27900,-34100,-5364,232433,-10810,0,1037,-18500,0,-519,-2860,660100,-4630,-768,-18000,25000,15800,1514,-228960,-1517,739,5000,999,0,0
-2613000,-6840000,-390000,67000,-215000,-7819000,-681000,90000,7690000,1e+05,-1050000,-9957000,-1060000,-33000,-96000,186000,8e+05,-859000,-88000,115000,969000,631000,-979000,-7020000,0,345000,907000,-470000,-10000,371000
-22091000,8800000,-40110000,-82000,573000,-1500000,245900,7210000,1370000,19700000,-2e+05,-13152000,-17770000,3e+05,-9431000,412000,11200000,-1648000,45262000,14561000,-21560000,310000,-6830000,-2790000,8300000,11620000,-276000,29470000,1.5e+07,-364000
-566000,1082000,-144000,-875000,50000,180000,257800,-80000,-13170000,199000,-303000,-276200,-107000,-842000,-36000,652000,50000,11706000,915000,405000,-507000,-63000,289000,-1111000,751000,-286000,517200,1021000,193000,-137200
3138000,16185000,-4320000,9495000,347600,-7767000,-128000,-1237000,-3908000,-1328000,2759000,-380000,-95000,28740,-41570,-3106000,-16761000,-550000,-8660000,-314300,215000,686000,-14000,458000,232000,-1930000,8705000,322000,205400,26770
185130,231080,-591600,1380,461620,245000,71600,-31460,439000,735330,2600,-3490,-50300,-1100,1900,494000,2020000,5737600,3916880,-373600,1115000,559000,929160,4394000,10056000,-7710,1216820,815800,751600,1527700
-1301000,13380000,-159000,-91400,1301000,-919000,-5400,-159000,-1e+05,570000,-316000,-359100,-138000,-4e+05,-1400000,155000,-6430000,-160000,304400,-1642000,-153000,45400,2164000,-933000,-1224000,426000,1450100,489000,131000,62700
-1415000,-9120000,-240000,-335000,-872000,-464000,-136000,-635000,-44070000,-2281000,157000,-107000,-980000,-734000,-125000,207000,31720000,-536000,808000,458000,86000,392000,-165000,-290000,-1000,-175000,121000,1130000,-26000,241000
-28030,110900,-526000,38530,97500,-170700,12000,-63200,416000,365200,-177900,48490,-395400,-216800,-54870,271730,-51100,406000,-12600,-82200,966700,51400,12800,-136000,13442000,105900,20300,38400,-48700,11970
-1058000,2740000,-2020000,40000,490000,-830000,630000,-240000,-2430000,1610000,-22000,-116000,-2520000,179000,105000,918000,-2360000,-91000,720000,-982000,4580000,210000,-70000,-780000,-570000,-158000,205000,-360000,-120000,-158000
-7354000,-26020,-3600,-20910,86900,904500,3190,219700,31400,25100,-7500,-18650,-18600,-2346630,-13030,-125100,6120,12300,1740,-96960,-901500,-200,-220340,-16900,-72100,260000,5190,32800,10,-230
3333000,63000,87600,12970,1047600,-92100,-560,153440,-8955000,-279000,42400,-47680,-557600,-44369,600,-3314000,208000,-109500,61100,-1036100,46800,6490,-117200,-143000,-142900,-34300,28580,82600,419,-21450
-1827000,789000,1968000,-2000,-15000,-716000,-302900,-91000,-659000,129000,-244000,-115670,-804000,50000,26900,66000,-372000,-1737000,474000,379000,-209000,149900,-178300,314000,167000,374000,142670,361000,4840000,-20900
0,0,-3700,0,-1380,6880,-10,-600,-1930,750,989400,-780,-720,-5068840,0,0,0,-9300,0,0,11620,-341,-1000,3640,-2120,930000,0,-3210,-1160,7200
-160000,2290000,1577000,553000,-110000,260000,-3e+05,914000,2015000,532000,-240000,239000,-20000,693000,-123000,730000,370000,-1997000,-128000,1310000,570000,-240000,-1214000,-2459000,-236000,-621000,110000,-620000,-925000,713000
1870000,-2800000,2380000,-3700000,-2290000,6310000,1130000,2900000,-1930000,10800000,1320000,1e+05,1300000,-2230000,-330000,-2130000,4400000,-2210000,6e+05,-520000,-7040000,-5e+05,-4200000,4630000,-10500000,1100000,5e+05,-1100000,3030000,2060000
-8755000,-45000,80000,266000,-103210,-1162000,-6600,-5000,-1724000,1140000,182000,-212900,-269000,-5481000,130000,-108000,197000,-441000,-287900,78310,3152000,18200,776000,1114000,-1070000,-81000,199900,198000,901000,2006000
-820000,1260000,-2640000,70000,720000,3270000,1467000,-4240000,340000,720000,-702000,2070000,-820000,1700000,-120000,-350000,-1610000,-1950000,-180000,-1900000,-1840000,-190000,4070000,-1800000,-2300000,762000,-2110000,1310000,-90000,1030000
-12710000,-9e+06,4850000,120000,12400000,-1140000,-790000,-5780000,2100000,4760000,1260000,-1e+06,-184300000,-1760000,370000,26810000,-1400000,-4360000,5520000,-14010000,2850000,450000,6380000,-5420000,2e+05,-1480000,1020000,10500000,1760000,2990000
-4401000,2910000,-499000,-1320,7340,5800,-10400,61900,-11570000,999000,267410,0,-2500000,188000,709,-308100,13080000,-78000,418000,-3230,469000,8960,-81672,-1866000,-719000,-142000,7720,6080000,-187333,-709
-175700,1920000,-525000,-29400,32500,-26000,-302230,-235000,-5217000,-10500,27000,-31100,-1445000,-157000,-13600,11700,-970000,-403500,635700,40900,1039000,259230,-13700,478000,4700,-19000,119700,795000,75000,17700
112900,162000,-545600,-62700,6200,114000,-43320,-34000,163000,115000,-275000,-113200,-90000,-73900,3900,357000,293000,113600,406900,-600,-63000,276620,-11000,-480000,355000,435000,329200,-278800,216200,6957000
-138000,550500,176700,-75100,15560000,-14527000,-81480,-431300,-580000,-502000,-839600,-245000,-9628000,70700,-1054800,164000,-477000,-90000,72400,-16651500,-50000,33280,12838300,-927000,189000,333600,844000,-404000,250200,27800
6800000,-35600000,-40100000,-36350000,-24600000,-8100000,16760000,-26600000,-4.1e+07,-1.83e+08,8600000,-1.9e+07,-23290000,-5900000,-4200000,3700000,-5100000,-15800000,86950000,28400000,-1e+06,87800000,-1900000,6.9e+07,-6400000,-28700000,1.7e+07,72890000,66600000,29200000
270000,1610000,5110000,1220000,-3460000,4790000,-130000,1670000,660000,4290000,-1660000,1450000,1640000,-2320000,-2440000,5500000,2840000,-940000,-790000,1060000,-3520000,510000,-990000,3470000,-280000,2600000,-4460000,2600000,1780000,-1210000
-7280,0,-4190,-2340,0,-15498390,0,0,888,0,0,719,0,0,-162000,0,0,0,0,0,-1610,0,0,149112,0,0,6061,0,0,0
33150,520,3220,-2706,-12200,-3357930,155,-1358,17160,940,9860,-941,-2110,-10350,-509,-28330,4530,905660,12486,769,-370,-207,888,-9300,-1330,15900,0,6020,190,16529
-1110000,3480000,4510000,-551200,-1830000,2730000,1510000,-180000,9320000,1460000,-50000,250000,1330000,102000,2786000,2820000,10670000,-4600000,15814200,2610000,11810000,3490000,-626000,33300000,18700000,5520000,9625000,14780000,733000,5320000
-4842000,-210000,1614300,-4850,100,-1186000,30200,0,-422500,-19400,-574000,-899,-17800,591000,102000,-528000,250000,-1473000,37040,798800,-151400,-30200,0,-66820,-1770,245000,1850,-20600,-1214000,-85000
-871000,-1e+05,50000,-2031800,-320000,-160000,81900,-1150000,-660000,-210000,0,-930000,-40000,-533000,49600,-160900,-380000,310000,1811800,-947800,170000,-4200,930000,-586000,4e+05,680000,1060000,330000,1362000,42900
133900,-302000,-48800,38300,913070,-245600,126600,1124000,7219000,273900,52200,-17960,148300,-53800,-79520,129000,-34200,3500,135200,-911330,17400,10000,-998000,-7682800,-320100,-15500,81360,-214500,67400,74820
-2240000,-6260000,-8440000,-7399000,-1100000,-1850000,280000,-1930000,-5970000,7910000,-1300000,-6170000,-6690000,-3740000,-239000,1030000,12060000,-480000,1839000,1180000,2540000,210000,5390000,4380000,-2900000,1650000,3400000,15680000,910000,-217000
14980000,-9300000,-16370000,-8090000,5730000,32760000,196940,1359000,42800000,29980000,2350000,-6320000,-15730000,7600,16460000,-10430000,-31600000,14170000,5290000,-2240000,7.5e+07,-150800,36530000,-70160000,-1.3e+07,-3201000,7720000,6070000,-29460,-13630000
-4065000,1940000,-2460000,-460000,70000,-2100000,-166000,-2450000,-170000,1420000,90000,-1137000,230000,20000,-230000,575000,40000,-2220000,3400000,3e+05,120000,244000,2090000,310000,-1890000,-350000,847000,2620000,80000,12000
-1186200,-110000,-360000,-302000,191000,33000,-331700,-996000,-794000,630000,479000,-359000,710000,60000,-8000,430200,240000,-161000,322000,-218000,-564000,240700,576000,814000,-1180000,440000,-90000,1340000,-11000,115000
-906000,1380000,-6220000,-960000,723000,440000,-92000,-620000,420000,9030000,590000,-3200000,-2580000,-1170000,217000,403000,1860000,-1869000,1840000,50000,170000,-48000,-790000,2030000,-4700000,1140000,250000,3410000,970000,101000
-2910,-3390,-8800,0,-1860,-7726700,-19100,0,9660,-6750,1150,0,-1610,-2130,12900,0,6080,-20600,7680,0,-23300,2220,0,-2060,-1560,-2420,0,-3080,2100,68100
162000,-650000,-19110000,-1070000,-260000,10340000,-304000,-8980000,7040000,11930000,12639000,-1579000,720000,-532000,-195000,-196000,280000,-1130000,13360000,-196000,5800000,243000,11780000,2400000,-12140000,-10790000,549000,1770000,192000,153000
-721300,32000,-55000,-6266,-15000,-252000,-9940,359000,-1150000,53100,1e+05,-49900,-953000,179100,0,-43990,489000,-325671,550246,121000,261000,16500,-519700,-2e+06,7800,-35000,158000,1433000,-1e+05,401
-7730000,-590000,610000,-430000,-410000,1030000,-423000,-1160000,340000,1670000,-2132000,-40000,620000,-290000,424000,-659000,-751000,-1861000,-1246000,-170000,-1116000,27000,1280000,-1200000,-3337000,1662000,-1038000,-1560000,-985000,-804000
-3099000,3670000,-777000,-126000,-1660000,-1040000,2570000,650000,-1230000,-220000,-4e+05,-1190000,-780000,707000,-756000,-239000,-4020000,-604400,978000,-1120000,1530000,-1340000,-2070000,-2660000,1330000,-214000,910000,-1870000,-732000,1036000
-13459000,1145000,-11130000,461000,1031000,-7220000,-380000,-3530000,-6950000,-9580000,-314000,-1568000,-1811000,149000,332000,789000,30000,-970000,-672000,-380000,-2670000,390000,-1830000,7180000,-1342000,619000,438000,451000,571000,-140000
-1754000,780000,-1480000,-347000,333000,-230000,-92000,-498000,-5e+05,1200000,-301000,-284000,-920000,-362400,-417000,314000,-490000,-444000,654000,-316000,2e+05,75000,219000,-90000,-1210000,11931000,451000,14680000,542400,268000
-618100,-287000,-1232000,7000,64000,3304000,-8600,-601000,465000,-307000,138400,-198000,79000,18100,-118300,100100,-70000,-122000,208000,-85200,-3802000,-6710,401000,110000,-75000,18000,1280000,437000,68600,18400
-865000,253000,1786000,-257000,-71000,-1582000,40000,-153000,61000,460000,11000,-340000,-132000,353000,-31000,69000,124000,-2192000,521000,135000,-44000,-200800,-32000,177000,-580000,141000,162000,602000,-525000,82000
-4678000,4810000,-10370000,-5e+05,2010000,-3440000,-403000,-1238000,1e+06,-3e+05,460000,-1580000,-4030000,72000,-2954000,568000,-4230000,-520000,6760000,-1870000,-3770000,144000,5528000,3190000,-1360000,680000,2520000,9870000,715000,349000
8000,21764000,45000,-26780,150100,-3414800,6000,-29800,-490000,91000,-83600,-21400,-102000,-3400,-276920,-142000,-22161000,-45700,63380,-154300,-55100,17000,14100,-312000,-80000,71600,190500,37000,44500,570
-1214000,-493000,-7119000,-474000,-25000,663000,-155600,-883000,-20000,6270000,341000,-448000,520000,-205000,-66000,72000,503000,-528000,1135000,331000,-680000,98600,321000,5130000,-6910000,-93000,899000,5590000,420000,205000
-1467960,3117700,69900,315900,-25300,-175900,-70000,82000,23100,-82300,148000,13790,42600,46710,-19000,1320,-3102900,-85200,-247000,-40500,-1200,54000,-103730,-26500,-20700,-81000,-11850,991000,-27700,-400
-876000,2090,-1120000,0,61200,155600,0,-1920,-1100,0,0,0,0,0,0,-194700,-2090,0,0,-61200,4433000,0,464000,0,0,0,0,1710,0,0
-15591000,-925700,4099000,-133900,397000,-601000,23200,3908400,1907800,-114000,-1100,-2159000,-3400900,-105000,-2257000,3971000,154700,-4879100,11900,-1042600,-312000,-18500,12030000,-1582000,-122000,10400,63000,71500,985,-487700
-1490000,4470000,-710000,-570000,-144000,120000,-6000,-616000,-4e+05,240000,151000,-678000,-940000,-95000,-37000,-109000,-5010000,-872000,1110000,39000,310000,141000,1366000,-30000,-380000,2e+05,888000,750000,169000,-3000
1.9e+07,-84200000,18300000,4e+06,-1.4e+07,3e+06,1.2e+07,24600000,8e+06,-2400000,1.6e+07,9e+06,116850000,0,6e+06,-1.3e+07,100200000,-1e+06,-1.7e+07,6e+06,-6e+06,-8e+06,-1.5e+07,-4e+06,0,-8e+06,-9e+06,-1.7e+07,-1.4e+07,4e+06
-219000,4592000,6000,-91800,212000,-1029000,-24900,-405700,-1730000,-556000,-1015000,-8300,-2097600,360700,-249100,370000,-3550000,278000,878800,-479900,557000,16700,6179700,-1231000,-192600,60000,545800,321600,675000,168100
-187000,-57000,-143000,485000,3617000,1607000,17000,-3760000,-40000,260000,26000,-368000,-190000,2000,-524000,89000,481000,498000,4210000,-3907000,-2293000,47400,1390000,350000,-3e+05,-44000,528000,688000,266000,-103400
-436000,268000,-5491000,154900,144200,24275000,-114500,-510800,248300,1050000,70000,-441700,-270000,-9200,-1094070,-296800,6374000,44000,-77000,33000,-16320000,353500,2187800,-134000,7250000,-114000,1234700,-842000,837100,681070
-20600,108000,-42000,8400,41100,-155900,-180,-28200,-648800,9910,-2477000,-8590,-1500,-3930,-14059,35700,152000,-8300,233000,60700,21600,34970,29300,-29190,209400,84000,50390,600,81590,1819
-3391000,2601000,130000,-925000,-73000,-3396000,-40000,3000,-3918000,540000,-130000,-478000,-4188000,-425000,-48000,45000,-2232000,-150000,795000,159000,392000,-65000,-59000,1948000,-1280000,10000,395000,1988000,485000,-97000
505,0,-848,0,585,-8008990,0,-1700,-1220,-7260,0,0,0,900,0,-505,3290,189000,0,-585,-1010,0,0,0,-1050,0,0,1120,-1360,0
-330000,24719000,-8896000,5100,723000,670000,6070000,1810000,-330000,34780000,-56000,5762000,1030000,6390000,460000,1300000,-22330000,4976000,2941800,-839000,5510000,2430000,-2268000,-1200000,-16500000,-144000,-210000,4370000,-1670000,510000
-3231000,40000,-1380000,-361000,771000,-3010000,-134300,-107000,1420000,3060000,-214000,-1921000,40000,-87000,-808000,499000,1130000,-4e+05,1703000,-774000,-2813000,173300,3000,-780000,-3220000,3000,741000,2760000,-30000,638000
-18250000,3300000,-8500000,-11420000,3140000,7700000,-7170000,-18200000,-1.2e+07,2800000,18280000,-13092000,-5600000,-9650000,9059000,12250000,-1e+06,-14590000,18220000,-9880000,-13800000,16980000,-6960000,-3400000,3e+06,-18830000,552000,1800000,11550000,5600000
